uniqueId,name,yearReleased,genre,publisher,developer,rating,naSales,euSales,jpSales,otherSales,globalSales,criticScore,criticCount,userScore,userCount
1,.hack//Infection Part 1,2002,Role-Playing,Atari,CyberConnect2,T,0.49,0.38,0.26,0.13,1.27,75,35,8.5,60
2,.hack//Mutation Part 2,2002,Role-Playing,Atari,CyberConnect2,T,0.23,0.18,0.2,0.06,0.68,76,24,8.9,81
3,.hack//Outbreak Part 3,2002,Role-Playing,Atari,CyberConnect2,T,0.14,0.11,0.17,0.04,0.46,70,23,8.7,19
4,[Prototype],2009,Action,Activision,Radical Entertainment,M,0.84,0.35,0.0,0.12,1.31,78,83,7.8,356
5,[Prototype],2009,Action,Activision,Radical Entertainment,M,0.65,0.4,0.0,0.19,1.24,79,53,7.7,308
6,[Prototype 2],2012,Action,Activision,Radical Entertainment,M,0.48,0.24,0.0,0.07,0.79,74,69,7.0,173
7,[Prototype 2],2012,Action,Activision,Radical Entertainment,M,0.36,0.28,0.0,0.1,0.74,79,39,6.8,179
8,[Prototype 2],2012,Action,Activision,Radical Entertainment,M,0.07,0.03,0.0,0.01,0.11,76,12,6.4,389
9,007: Quantum of Solace,2008,Action,Activision,Treyarch,T,0.82,0.51,0.01,0.14,1.48,65,69,7.1,71
10,007: Quantum of Solace,2008,Action,Activision,Treyarch,T,0.43,0.51,0.02,0.19,1.14,65,42,6.6,47
11,007: Quantum of Solace,2008,Action,Activision,Treyarch,T,0.29,0.28,0.01,0.07,0.65,54,11,7.5,26
12,007: Quantum of Solace,2008,Action,Activision,Treyarch,T,0.01,0.01,0.0,0.0,0.03,70,18,6.3,55
13,007: The World is not Enough,2000,Action,Electronic Arts,Black Ops Entertainment,T,0.51,0.35,0.0,0.06,0.92,61,11,6.7,44
14,007 Racing,2000,Racing,Electronic Arts,Eutechnyx,T,0.3,0.2,0.0,0.03,0.53,51,16,4.6,14
15,100 Classic Books,2008,Misc,Nintendo,Genius Sonority Inc.,,0.12,0.52,0.0,0.02,0.66,70,7,6.0,12
16,15 Days,2009,Adventure,DTP Entertainment,DTP Entertainment,,0.0,0.01,0.0,0.0,0.01,63,6,5.8,8
17,1701 A.D.,2006,Simulation,Deep Silver,Related Designs,E10+,0.0,0.25,0.0,0.04,0.3,79,30,8.3,38
18,187: Ride or Die,2005,Racing,Ubisoft,Ubisoft,M,0.07,0.06,0.0,0.02,0.15,52,33,6.8,12
19,187: Ride or Die,2005,Racing,Ubisoft,Ubisoft Paris,M,0.05,0.01,0.0,0.0,0.06,51,40,6.9,8
20,18 Wheeler: American Pro Trucker,2001,Racing,Acclaim Entertainment,Acclaim Studios Cheltenham,E,0.2,0.15,0.0,0.05,0.4,61,11,5.7,18
21,18 Wheeler: American Pro Trucker,2002,Racing,Acclaim Entertainment,Acclaim Studios Cheltenham,E,0.09,0.02,0.0,0.0,0.11,52,17,6.8,8
