uniqueid,name,yearreleased,genre,publisher,developer,rating
1,.hack//Infection Part 1,2002,Role-Playing,Atari,CyberConnect2,T
2,.hack//Mutation Part 2,2002,Role-Playing,Atari,CyberConnect2,T
3,.hack//Outbreak Part 3,2002,Role-Playing,Atari,CyberConnect2,T
4,[Prototype],2009,Action,Activision,Radical Entertainment,M
5,[Prototype],2009,Action,Activision,Radical Entertainment,M
6,[Prototype 2],2012,Action,Activision,Radical Entertainment,M
7,[Prototype 2],2012,Action,Activision,Radical Entertainment,M
8,[Prototype 2],2012,Action,Activision,Radical Entertainment,M
9,007: Quantum of Solace,2008,Action,Activision,Treyarch,T
10,007: Quantum of Solace,2008,Action,Activision,Treyarch,T
11,007: Quantum of Solace,2008,Action,Activision,Treyarch,T
12,007: Quantum of Solace,2008,Action,Activision,Treyarch,T
13,007: The World is not Enough,2000,Action,Electronic Arts,Black Ops Entertainment,T
14,007 Racing,2000,Racing,Electronic Arts,Eutechnyx,T
15,100 Classic Books,2008,Misc,Nintendo,Genius Sonority Inc.,
16,15 Days,2009,Adventure,DTP Entertainment,DTP Entertainment,
17,1701 A.D.,2006,Simulation,Deep Silver,Related Designs,E10+
18,187: Ride or Die,2005,Racing,Ubisoft,Ubisoft,M
19,187: Ride or Die,2005,Racing,Ubisoft,Ubisoft Paris,M
20,18 Wheeler: American Pro Trucker,2001,Racing,Acclaim Entertainment,Acclaim Studios Cheltenham,E
21,18 Wheeler: American Pro Trucker,2002,Racing,Acclaim Entertainment,Acclaim Studios Cheltenham,E
22,1 vs. 100,2008,Misc,DSI Games,ECI,E
23,2002 FIFA World Cup,2002,Sports,Electronic Arts,EA Sports,E
24,2002 FIFA World Cup,2002,Sports,Electronic Arts,Software Creations,E
25,2002 FIFA World Cup,2002,Sports,Electronic Arts,EA Sports,E
26,2010 FIFA World Cup South Africa,2010,Sports,Electronic Arts,EA Canada,E
27,2010 FIFA World Cup South Africa,2010,Sports,Electronic Arts,Electronic Arts,E
28,2010 FIFA World Cup South Africa,2010,Sports,Electronic Arts,Electronic Arts,E
29,2010 FIFA World Cup South Africa,2010,Sports,Electronic Arts,Electronic Arts,E
30,2014 FIFA World Cup Brazil,2014,Sports,Electronic Arts,EA Canada,E
31,2014 FIFA World Cup Brazil,2014,Sports,Electronic Arts,EA Canada,E
32,24: The Game,2006,Adventure,Sony Computer Entertainment,SCE Studio Cambridge,M
33,25 to Life,2006,Shooter,Eidos Interactive,"Ritual Entertainment, Avalanche Software",M
34,25 to Life,2006,Shooter,Eidos Interactive,"Ritual Entertainment, Avalanche Software",M
35,300: March to Glory,2007,Action,Warner Bros. Interactive Entertainment,Collision Studios,M
36,3D Dot Game Heroes,2009,Role-Playing,SouthPeak Games,Silicon Studio,E10+
37,4x4 EVO 2,2001,Racing,Gathering of Developers,Terminal Reality,E
38,50 Cent: Blood on the Sand,2009,Shooter,THQ,Swordfish Studios,M
39,50 Cent: Blood on the Sand,2009,Shooter,THQ,Swordfish Studios,M
40,50 Cent: Bulletproof,2005,Action,Vivendi Games,Genuine Games,M
41,50 Cent: Bulletproof,2005,Action,Vivendi Games,Genuine Games,M
42,7 Days to Die,2016,Action,Telltale Games,The Fun Pimps Entertainment LLC,M
43,7 Days to Die,2016,Action,Telltale Games,The Fun Pimps Entertainment LLC,M
44,7th Dragon III Code: VFD,2015,Role-Playing,Sega,Sega,T
45,7 Wonders of the Ancient World,2007,Puzzle,Funsta,Hot Lava Games,E
46,A Boy and His Blob,2009,Platform,Majesco Entertainment,WayForward,E
47,AC/DC LIVE: Rock Band Track Pack,2008,Misc,MTV Games,Harmonix Music Systems,T
48,AC/DC LIVE: Rock Band Track Pack,2008,Misc,MTV Games,Harmonix Music Systems,T
49,Academy of Champions: Soccer,2009,Sports,Ubisoft,Ubisoft Vancouver,E
50,Ace Attorney Investigations: Miles Edgeworth,2009,Adventure,Capcom,Capcom,T
51,Ace Combat: Assault Horizon,2011,Action,Namco Bandai Games,Project Aces,T
52,Ace Combat: Assault Horizon,2011,Action,Namco Bandai Games,Project Aces,T
53,Ace Combat: Assault Horizon Legacy,2011,Simulation,Namco Bandai Games,Project Aces,T
54,Ace Combat: Joint Assault,2010,Simulation,Namco Bandai Games,Project Aces,T
55,Ace Combat 04: Shattered Skies,2001,Simulation,Sony Computer Entertainment Europe,Namco,E
56,Ace Combat 2,1997,Simulation,Sony Computer Entertainment,Namco,T
57,Ace Combat 5: The Unsung War,2004,Simulation,Sony Computer Entertainment Europe,Namco,T
58,Ace Combat 6: Fires of Liberation,2007,Simulation,Atari,Project Aces,T
59,Ace Combat X: Skies of Deception,2006,Simulation,Namco Bandai Games,Project Aces,T
60,Ace Combat Zero: The Belkan War,2006,Simulation,Namco Bandai Games,Namco,T
61,Achtung Panzer: Kharkov 1943,2010,Strategy,Mamba Games,Paradox Interactive,
62,Active Life: Outdoor Challenge,2008,Sports,Atari,h.a.n.d. Inc.,E
63,Activision Anthology,2002,Misc,Activision,Contraband Entertainment,E
64,Act of Aggression,2015,Strategy,Focus Home Interactive,Eugen Systems,
65,Advance Wars,2001,Strategy,Nintendo,Intelligent Systems,E
66,Advance Wars: Dual Strike,2005,Strategy,Nintendo,Intelligent Systems,E
67,Advance Wars 2: Black Hole Rising,2003,Strategy,Nintendo,Intelligent Systems,E
68,Advent Rising,2005,Action,THQ,GlyphX Games,T
69,Adventure Time: The Secret of the Nameless Kingdom,2014,Action,Little Orbit,WayForward,E10+
70,Adventure Time: The Secret of the Nameless Kingdom,2014,Action,Little Orbit,WayForward,E10+
71,Aedis Eclipse: Generation of Chaos,2006,Role-Playing,Idea Factory,"Neverland, Idea Factory",E10+
72,Aegis of Earth: Protonovus Assault,2016,Action,PQube,Acquire,T
73,Aeon Flux,2005,Action,THQ,Terminal Reality,T
74,Aeon Flux,2005,Action,THQ,Terminal Reality,T
75,Aero Elite: Combat Academy,2002,Simulation,Sega,Sega AM2,E
76,Afrika,2008,Adventure,Unknown,Rhino Studios,E10+
77,Afro Samurai,2009,Action,Atari,"Namco Bandai Games America, Namco Bandai Games",M
78,Afro Samurai,2009,Action,Atari,"Namco Bandai Games America, Namco Bandai Games",M
79,A Game of Thrones: Genesis,2011,Strategy,Focus Home Interactive,Cyanide,
80,Agatha Christie: And Then There Were None,2008,Adventure,The Adventure Company,AWE Games,T
81,Agatha Christie: Evil Under the Sun,2008,Adventure,The Adventure Company,AWE Games,T
82,Agatha Christie: The ABC Murders,2009,Adventure,JoWood Productions,Dreamcatcher,T
83,Agatha Christie: The ABC Murders,2016,Adventure,Microids,Artefacts Studio,
84,Agatha Christie's The ABC Murders,2016,Adventure,Microids,Microids,T
85,Agatha Christie's The ABC Murders,2016,Adventure,Microids,Microids,
86,Age of Conan: Rise of the Godslayer,2010,Role-Playing,Funcom,Funcom,M
87,Age of Empires: Mythologies,2008,Strategy,THQ,Griptonite Games,E10+
88,Age of Empires: The Age of Kings,2006,Strategy,THQ,Backbone Entertainment,E10+
89,Age of Empires II: The Age of Kings,1999,Strategy,Microsoft Game Studios,Ensemble Studios,T
90,Age of Empires III,2005,Strategy,Microsoft Game Studios,Ensemble Studios,T
91,Age of Empires III: The Asian Dynasties,2007,Strategy,Microsoft Game Studios,Big Huge Games,T
92,Age of Empires Online,2011,Strategy,Microsoft Game Studios,Gas Powered Games,E10+
93,Age of Mythology,2002,Strategy,Microsoft Game Studios,Ensemble Studios,T
94,Age of Mythology: The Titans,2003,Strategy,Microsoft Game Studios,Ensemble Studios,T
95,Aggressive Inline,2002,Sports,Acclaim Entertainment,"Z-Axis, Ltd.",T
96,Aggressive Inline,2002,Sports,Acclaim Entertainment,"Z-Axis, Ltd.",T
97,Aggressive Inline,2002,Sports,Acclaim Entertainment,"Z-Axis, Ltd.",T
98,Airblade,2001,Sports,Sony Computer Entertainment,Criterion Games,T
99,Airborne Troops: Countdown to D-Day,2005,Shooter,Playlogic Game Factory,WideScreen Games,T
100,Air Conflicts: Secret Wars,2011,Simulation,bitComposer Games,Games Farm,T
101,AirForce Delta Storm,2001,Shooter,Konami Digital Entertainment,KCE Studios,E
102,AirForce Delta Strike,2004,Simulation,Konami Digital Entertainment,KCE Studios,T
103,Airline Tycoon 2,2011,Simulation,Kalypso Media,Kalypso,E
104,Alan Wake,2010,Action,Microsoft Game Studios,Remedy Entertainment,T
105,Alan Wake,2012,Action,Nordic Games,Remedy Entertainment,T
106,Alias,2004,Action,Acclaim Entertainment,Acclaim Studios Cheltenham,T
107,Alias,2004,Action,Acclaim Entertainment,Acclaim Studios Cheltenham,T
108,Alice: Madness Returns,2011,Adventure,Electronic Arts,Spicy Horse,M
109,Alice: Madness Returns,2011,Adventure,Electronic Arts,Spicy Horse,M
110,Alice: Madness Returns,2011,Adventure,Electronic Arts,Spicy Horse,M
111,Alice in Wonderland,2010,Adventure,Disney Interactive Studios,Etranges Libellules,E10+
112,Alien: Isolation,2014,Shooter,Sega,Creative Assembly,M
113,Alien: Isolation,2014,Shooter,Sega,Creative Assembly,M
114,Alien: Isolation,2014,Shooter,Sega,Creative Assembly,M
115,Alien Hominid,2004,Shooter,Zoo Digital Publishing,The Behemoth,T
116,Alien Hominid,2004,Shooter,O3 Entertainment,The Behemoth,T
117,Alien Resurrection,2000,Shooter,Fox Interactive,Argonaut Games,M
118,Aliens: Colonial Marines,2013,Shooter,Sega,Gearbox Software,M
119,Aliens: Colonial Marines,2013,Shooter,Sega,Gearbox Software,M
120,Aliens: Colonial Marines,2013,Shooter,Sega,Gearbox Software,M
121,Aliens: Infestation,2011,Action,Sega,"Gearbox Software, WayForward",T
122,Aliens in the Attic,2009,Action,Playlogic Game Factory,Engine Software,E10+
123,Aliens versus Predator: Extinction,2003,Strategy,Electronic Arts,Zono Inc.,T
124,Aliens versus Predator: Extinction,2003,Strategy,Electronic Arts,Zono Inc.,T
125,Aliens vs Predator,2010,Shooter,Sega,Rebellion,M
126,Aliens vs Predator,2010,Shooter,Sega,Rebellion,M
127,Aliens vs Predator,2010,Shooter,Sega,Rebellion,M
128,Aliens vs Predator: Requiem,2007,Action,Vivendi Games,Rebellion,T
129,Alien Syndrome,2007,Role-Playing,Sega,Totally Games,T
130,Alien Syndrome,2007,Role-Playing,Sega,Totally Games,T
131,All-Pro Football 2K8,2007,Sports,Take-Two Interactive,Visual Concepts,E10+
132,All-Pro Football 2K8,2007,Sports,Take-Two Interactive,Visual Concepts,E10+
133,All-Star Baseball 2002,2001,Sports,Acclaim Entertainment,Acclaim Studios Austin,E
134,All-Star Baseball 2002,2001,Sports,Acclaim Entertainment,Acclaim,E
135,All-Star Baseball 2003,2002,Sports,Acclaim Entertainment,Acclaim Studios Austin,E
136,All-Star Baseball 2003,2002,Sports,Acclaim Entertainment,Acclaim,E
137,All-Star Baseball 2003,2002,Sports,Acclaim Entertainment,Acclaim,E
138,All-Star Baseball 2004,2003,Sports,Acclaim Entertainment,Acclaim Studios Austin,E
139,All-Star Baseball 2004,2003,Sports,Acclaim Entertainment,Acclaim,E
140,All-Star Baseball 2004,2003,Sports,Acclaim Entertainment,Acclaim,E
141,Alone in the Dark,2008,Adventure,Atari,Eden Studios,M
142,Alone in the Dark,2008,Adventure,Atari,Hydravision,M
143,Alone in the Dark,2008,Adventure,Atari,Hydravision,M
