uniqueId,name,naSales,euSales,jpSales,otherSales,globalSales
1,.hack//Infection Part 1,0.49,0.38,0.26,0.13,1.27
2,.hack//Mutation Part 2,0.23,0.18,0.2,0.06,0.68
3,.hack//Outbreak Part 3,0.14,0.11,0.17,0.04,0.46
4,[Prototype],0.84,0.35,0.0,0.12,1.31
5,[Prototype],0.65,0.4,0.0,0.19,1.24
6,[Prototype 2],0.48,0.24,0.0,0.07,0.79
7,[Prototype 2],0.36,0.28,0.0,0.1,0.74
8,[Prototype 2],0.07,0.03,0.0,0.01,0.11
9,007: Quantum of Solace,0.82,0.51,0.01,0.14,1.48
10,007: Quantum of Solace,0.43,0.51,0.02,0.19,1.14
11,007: Quantum of Solace,0.29,0.28,0.01,0.07,0.65
12,007: Quantum of Solace,0.01,0.01,0.0,0.0,0.03
13,007: The World is not Enough,0.51,0.35,0.0,0.06,0.92
14,007 Racing,0.3,0.2,0.0,0.03,0.53
15,100 Classic Books,0.12,0.52,0.0,0.02,0.66
16,15 Days,0.0,0.01,0.0,0.0,0.01
17,1701 A.D.,0.0,0.25,0.0,0.04,0.3
18,187: Ride or Die,0.07,0.06,0.0,0.02,0.15
19,187: Ride or Die,0.05,0.01,0.0,0.0,0.06
20,18 Wheeler: American Pro Trucker,0.2,0.15,0.0,0.05,0.4
21,18 Wheeler: American Pro Trucker,0.09,0.02,0.0,0.0,0.11
22,1 vs. 100,0.08,0.0,0.0,0.01,0.08
23,2002 FIFA World Cup,0.21,0.17,0.16,0.06,0.59
24,2002 FIFA World Cup,0.14,0.04,0.0,0.01,0.19
25,2002 FIFA World Cup,0.04,0.01,0.0,0.0,0.05
26,2010 FIFA World Cup South Africa,0.3,0.64,0.07,0.22,1.23
27,2010 FIFA World Cup South Africa,0.32,0.42,0.02,0.09,0.85
28,2010 FIFA World Cup South Africa,0.09,0.22,0.03,0.12,0.46
29,2010 FIFA World Cup South Africa,0.23,0.15,0.01,0.04,0.42
30,2014 FIFA World Cup Brazil,0.15,0.36,0.01,0.09,0.61
31,2014 FIFA World Cup Brazil,0.15,0.25,0.0,0.03,0.42
32,24: The Game,0.15,0.12,0.0,0.04,0.3
33,25 to Life,0.35,0.01,0.0,0.06,0.42
34,25 to Life,0.12,0.04,0.0,0.01,0.17
35,300: March to Glory,0.27,0.08,0.0,0.07,0.41
36,3D Dot Game Heroes,0.36,0.11,0.03,0.07,0.57
37,4x4 EVO 2,0.18,0.05,0.0,0.01,0.24
38,50 Cent: Blood on the Sand,0.12,0.07,0.0,0.02,0.21
39,50 Cent: Blood on the Sand,0.1,0.06,0.01,0.03,0.19
40,50 Cent: Bulletproof,0.85,0.76,0.0,0.16,1.77
41,50 Cent: Bulletproof,0.33,0.1,0.0,0.02,0.44
42,7 Days to Die,0.04,0.08,0.0,0.02,0.14
43,7 Days to Die,0.03,0.02,0.0,0.0,0.05
44,7th Dragon III Code: VFD,0.04,0.0,0.12,0.0,0.17
45,7 Wonders of the Ancient World,0.1,0.01,0.0,0.01,0.13
46,A Boy and His Blob,0.18,0.01,0.0,0.01,0.21
47,AC/DC LIVE: Rock Band Track Pack,0.21,0.01,0.0,0.02,0.24
48,AC/DC LIVE: Rock Band Track Pack,0.21,0.0,0.0,0.02,0.23
49,Academy of Champions: Soccer,0.09,0.02,0.0,0.01,0.12
50,Ace Attorney Investigations: Miles Edgeworth,0.23,0.14,0.3,0.04,0.7
51,Ace Combat: Assault Horizon,0.3,0.15,0.22,0.07,0.74
52,Ace Combat: Assault Horizon,0.3,0.12,0.03,0.04,0.49
53,Ace Combat: Assault Horizon Legacy,0.1,0.06,0.08,0.01,0.24
54,Ace Combat: Joint Assault,0.06,0.05,0.15,0.03,0.29
55,Ace Combat 04: Shattered Skies,2.06,0.56,0.38,0.17,3.17
56,Ace Combat 2,0.16,0.11,0.56,0.06,0.89
57,Ace Combat 5: The Unsung War,0.88,0.34,0.32,0.18,1.71
58,Ace Combat 6: Fires of Liberation,0.69,0.04,0.22,0.06,1.01
59,Ace Combat X: Skies of Deception,0.37,0.3,0.12,0.19,0.99
60,Ace Combat Zero: The Belkan War,0.15,0.12,0.2,0.04,0.51
61,Achtung Panzer: Kharkov 1943,0.0,0.01,0.0,0.0,0.02
62,Active Life: Outdoor Challenge,0.78,0.43,0.19,0.14,1.54
63,Activision Anthology,0.25,0.19,0.0,0.06,0.5
64,Act of Aggression,0.0,0.01,0.0,0.0,0.01
65,Advance Wars,0.5,0.19,0.0,0.01,0.7
66,Advance Wars: Dual Strike,0.3,0.02,0.04,0.03,0.39
67,Advance Wars 2: Black Hole Rising,0.47,0.17,0.0,0.01,0.65
68,Advent Rising,0.1,0.03,0.0,0.0,0.13
69,Adventure Time: The Secret of the Nameless Kingdom,0.0,0.07,0.0,0.0,0.08
70,Adventure Time: The Secret of the Nameless Kingdom,0.0,0.05,0.0,0.0,0.06
