uniqueId,name,criticScore,criticCount,userScore,userCount
1,.hack//Infection Part 1,75,35,8.5,60
2,.hack//Mutation Part 2,76,24,8.9,81
3,.hack//Outbreak Part 3,70,23,8.7,19
4,[Prototype],78,83,7.8,356
5,[Prototype],79,53,7.7,308
6,[Prototype 2],74,69,7.0,173
7,[Prototype 2],79,39,6.8,179
8,[Prototype 2],76,12,6.4,389
9,007: Quantum of Solace,65,69,7.1,71
10,007: Quantum of Solace,65,42,6.6,47
11,007: Quantum of Solace,54,11,7.5,26
12,007: Quantum of Solace,70,18,6.3,55
13,007: The World is not Enough,61,11,6.7,44
14,007 Racing,51,16,4.6,14
15,100 Classic Books,70,7,6.0,12
16,15 Days,63,6,5.8,8
17,1701 A.D.,79,30,8.3,38
18,187: Ride or Die,52,33,6.8,12
19,187: Ride or Die,51,40,6.9,8
20,18 Wheeler: American Pro Trucker,61,11,5.7,18
21,18 Wheeler: American Pro Trucker,52,17,6.8,8
22,1 vs. 100,38,5,3.2,5
23,2002 FIFA World Cup,73,19,5.6,18
24,2002 FIFA World Cup,79,17,9.0,4
25,2002 FIFA World Cup,78,9,7.7,6
26,2010 FIFA World Cup South Africa,82,56,7.8,57
27,2010 FIFA World Cup South Africa,83,61,8.1,58
28,2010 FIFA World Cup South Africa,69,11,7.4,9
29,2010 FIFA World Cup South Africa,70,19,6.7,11
30,2014 FIFA World Cup Brazil,73,33,4.3,87
31,2014 FIFA World Cup Brazil,74,29,4.4,93
32,24: The Game,62,53,8.2,40
33,25 to Life,39,23,4.9,46
34,25 to Life,41,20,7.2,13
35,300: March to Glory,55,31,7.1,14
36,3D Dot Game Heroes,77,66,8.0,96
37,4x4 EVO 2,59,15,6.2,5
38,50 Cent: Blood on the Sand,71,54,6.4,64
39,50 Cent: Blood on the Sand,72,37,7.2,57
40,50 Cent: Bulletproof,47,21,6.6,129
41,50 Cent: Bulletproof,50,14,5.9,21
42,7 Days to Die,45,16,5.9,140
43,7 Days to Die,35,17,5.2,74
44,7th Dragon III Code: VFD,77,26,8.2,38
45,7 Wonders of the Ancient World,60,7,8.3,48
46,A Boy and His Blob,80,43,8.7,35
47,AC/DC LIVE: Rock Band Track Pack,60,12,5.3,14
48,AC/DC LIVE: Rock Band Track Pack,63,16,4.9,10
49,Academy of Champions: Soccer,64,20,6.8,14
50,Ace Attorney Investigations: Miles Edgeworth,78,51,8.4,79
51,Ace Combat: Assault Horizon,77,28,6.7,82
52,Ace Combat: Assault Horizon,78,71,6.2,82
53,Ace Combat: Assault Horizon Legacy,71,37,7.8,26
54,Ace Combat: Joint Assault,71,30,7.2,12
55,Ace Combat 04: Shattered Skies,89,22,9.1,95
56,Ace Combat 2,83,10,8.2,22
57,Ace Combat 5: The Unsung War,84,57,9.1,81
58,Ace Combat 6: Fires of Liberation,80,54,7.9,101
59,Ace Combat X: Skies of Deception,75,26,8.3,30
60,Ace Combat Zero: The Belkan War,75,45,8.4,55
61,Achtung Panzer: Kharkov 1943,70,6,8.3,20
62,Active Life: Outdoor Challenge,69,6,8.1,14
63,Activision Anthology,75,13,7.7,6
64,Act of Aggression,71,37,7.1,93
65,Advance Wars,92,28,9.0,95
66,Advance Wars: Dual Strike,90,49,9.0,163
67,Advance Wars 2: Black Hole Rising,89,34,9.4,97
68,Advent Rising,68,50,7.5,68
69,Adventure Time: The Secret of the Nameless Kingdom,65,5,5.6,8
70,Adventure Time: The Secret of the Nameless Kingdom,58,5,7.5,4
71,Aedis Eclipse: Generation of Chaos,62,20,6.5,11
72,Aegis of Earth: Protonovus Assault,57,11,7.8,9
73,Aeon Flux,66,19,5.8,9
74,Aeon Flux,69,27,3.0,4
75,Aero Elite: Combat Academy,64,18,7.0,8
76,Afrika,63,12,6.2,34
77,Afro Samurai,65,70,6.2,57
78,Afro Samurai,65,52,6.1,27
79,A Game of Thrones: Genesis,53,40,4.0,110
80,Agatha Christie: And Then There Were None,50,23,6.2,12
81,Agatha Christie: Evil Under the Sun,46,6,7.3,6
82,Agatha Christie: The ABC Murders,53,11,6.5,4
83,Agatha Christie: The ABC Murders,66,15,8.5,144
84,Agatha Christie's The ABC Murders,67,17,6.2,12
85,Agatha Christie's The ABC Murders,66,7,7.5,8
86,Age of Conan: Rise of the Godslayer,83,14,8.4,52
87,Age of Empires: Mythologies,78,28,6.9,20
88,Age of Empires: The Age of Kings,80,38,7.9,59
89,Age of Empires II: The Age of Kings,92,21,9.0,801
90,Age of Empires III,81,52,7.7,519
91,Age of Empires III: The Asian Dynasties,81,19,8.5,71
92,Age of Empires Online,70,44,5.6,186
93,Age of Mythology,89,31,8.9,484
94,Age of Mythology: The Titans,84,25,8.7,119
95,Aggressive Inline,85,31,8.7,14
96,Aggressive Inline,85,20,7.7,7
97,Aggressive Inline,88,16,7.8,5
98,Airblade,70,18,5.8,12
99,Airborne Troops: Countdown to D-Day,39,4,8.1,9
100,Air Conflicts: Secret Wars,65,5,6.4,24
101,AirForce Delta Storm,61,21,7.1,7
102,AirForce Delta Strike,66,22,7.0,6
103,Airline Tycoon 2,57,4,5.5,30
104,Alan Wake,83,100,8.1,1156
105,Alan Wake,83,30,8.0,1473
106,Alias,64,31,8.0,10
107,Alias,64,37,6.0,4
108,Alice: Madness Returns,70,51,7.9,181
109,Alice: Madness Returns,70,67,8.1,157
110,Alice: Madness Returns,75,29,8.4,559
111,Alice in Wonderland,69,18,7.4,13
112,Alien: Isolation,79,50,8.1,795
113,Alien: Isolation,78,24,7.8,314
114,Alien: Isolation,81,41,8.4,1588
115,Alien Hominid,78,47,8.3,13
116,Alien Hominid,78,28,8.5,15
117,Alien Resurrection,61,12,7.5,15
118,Aliens: Colonial Marines,48,47,3.8,449
119,Aliens: Colonial Marines,43,25,3.6,295
120,Aliens: Colonial Marines,45,40,3.5,1156
121,Aliens: Infestation,76,43,8.2,29
122,Aliens in the Attic,58,7,6.0,5
123,Aliens versus Predator: Extinction,66,17,8.4,30
124,Aliens versus Predator: Extinction,64,19,7.7,21
125,Aliens vs Predator,64,64,7.3,247
126,Aliens vs Predator,65,57,7.3,168
127,Aliens vs Predator,68,35,7.4,985
128,Aliens vs Predator: Requiem,49,34,5.6,19
129,Alien Syndrome,51,20,6.0,9
130,Alien Syndrome,48,24,7.1,23
131,All-Pro Football 2K8,75,22,6.8,52
132,All-Pro Football 2K8,73,23,7.3,21
133,All-Star Baseball 2002,77,16,7.6,8
134,All-Star Baseball 2002,66,17,5.6,9
135,All-Star Baseball 2003,81,15,8.4,17
136,All-Star Baseball 2003,79,15,8.1,7
137,All-Star Baseball 2003,83,16,8.0,6
138,All-Star Baseball 2004,78,19,7.5,11
139,All-Star Baseball 2004,74,20,8.4,7
140,All-Star Baseball 2004,80,14,9.2,5
141,Alone in the Dark,58,53,5.7,162
142,Alone in the Dark,39,10,4.4,34
143,Alone in the Dark,47,10,5.4,24
144,Alone in the Dark,55,19,5.7,148
145,Alone in the Dark: Inferno,69,25,5.6,50
146,Alpha Protocol,64,49,6.9,117
147,Alpha Protocol,63,68,7.2,201
148,Alpha Protocol,72,25,7.5,511
149,Alter Echo,62,26,7.0,9
150,Altered Beast: Guardian of the Realms,63,13,4.8,4
151,Alter Ego,59,9,5.8,19
152,Alundra,86,9,9.0,41
153,Alvin and the Chipmunks,33,5,4.5,6
154,Alvin and the Chipmunks,30,4,3.6,20
155,Amazing Island,59,22,6.6,7
156,America's Army: Rise of a Soldier,70,19,7.4,21
157,America's Army: True Soldiers,43,11,6.7,55
158,America's Test Kitchen: Let's Get Cooking,87,4,5.6,9
159,American Chopper,47,4,7.5,13
160,American Chopper,44,6,5.9,9
161,American Idol,41,14,4.8,12
162,AMF Bowling 2004,48,6,4.4,8
163,AMF Xtreme Bowling,30,4,4.2,5
164,Amped: Freestyle Snowboarding,78,30,9.0,20
165,Amped 2,80,34,7.7,20
166,Amped 3,72,49,7.1,36
167,Amplitude,86,35,8.8,26
168,Anarchy Reigns,71,35,8.2,106
169,Anarchy Reigns,73,38,7.9,105
170,Angry Birds Star Wars,49,6,3.6,23
171,Angry Birds Star Wars,59,3,5.6,25
172,Angry Birds Star Wars,47,5,2.0,87
173,Angry Birds Star Wars,53,4,6.9,63
174,Angry Birds Trilogy,62,7,4.6,20
175,Angry Birds Trilogy,63,13,3.5,27
176,Angry Birds Trilogy,66,8,3.7,20
177,Anima - Gate of Memories,52,13,7.9,34
178,Animal Crossing,87,42,8.9,137
179,Animal Crossing: Amiibo Festival,46,20,4.4,173
180,Animal Crossing: City Folk,73,50,7.6,119
181,Animal Crossing: Happy Home Designer,66,60,6.9,106
182,Animal Crossing: New Leaf,88,70,8.7,626
183,Animal Crossing: Wild World,86,57,8.7,242
184,AniMates!,33,4,2.5,4
185,Anno 1701: Dawn of Discovery,78,14,7.5,19
186,Anno 2070,83,33,7.0,493
187,Anno 2205,72,45,5.9,278
188,Antz Extreme Racing,31,5,5.0,8
189,Antz Extreme Racing,35,4,8.7,10
190,Anubis II,19,5,2.7,28
191,Apache: Air Assault,66,17,6.1,12
192,Apache: Air Assault,70,26,6.4,31
193,Apache: Air Assault,64,7,7.5,18
194,APB Reloaded,56,12,5.7,269
195,Ape Escape,90,19,8.8,53
196,Ape Escape: On the Loose,66,35,6.4,16
